index,start,end
1,0.000,1.467
2,1.467,1.900
3,1.900,2.133
4,2.133,7.133
5,7.133,12.133
6,12.133,16.633
7,16.633,16.666
8,16.633,16.933
9,16.933,16.966
10,16.933,17.400
11,17.400,17.567
12,17.567,17.733
13,17.733,17.766
14,17.733,18.000
15,18.000,18.333
16,18.333,18.367
17,18.367,18.633
18,18.633,18.666
19,18.633,18.767
20,18.767,18.933
21,18.933,18.966
22,18.933,19.067
23,19.067,19.100
24,19.067,19.233
25,19.233,19.266
26,19.233,19.367
27,19.367,19.400
28,19.400,19.533
29,19.533,19.566
30,19.533,19.667
31,19.667,19.700
32,19.667,19.833
33,19.833,19.866
34,19.833,20.433
35,20.433,20.466
36,20.433,21.033
37,21.033,21.066
38,21.033,21.367
39,21.367,21.400
40,21.367,21.533
41,21.533,21.600
42,21.600,21.667
43,21.667,21.700
44,21.667,21.933
45,21.933,21.966
46,21.933,21.967
47,21.967,22.100
48,22.100,22.133
49,22.133,22.267
50,22.267,22.300
51,22.267,22.433
52,22.433,22.466
53,22.433,22.567
54,22.567,22.600
55,22.600,22.867
56,22.867,22.900
57,22.867,23.033
58,23.033,23.066
59,23.033,23.100
60,23.100,23.200
61,23.200,23.300
62,23.300,23.333
63,23.333,23.500
64,23.500,23.633
65,23.633,23.666
66,23.633,23.733
67,23.733,23.800
68,23.800,23.867
69,23.867,23.967
70,23.967,24.000
71,23.967,24.100
72,24.100,24.233
73,24.233,24.300
74,24.300,24.400
75,24.400,24.833
76,24.833,29.833
77,29.833,29.933
